Number_of_fruits;Duration;Origin
10;03:04.9;Isle_sur_la_Sorgues1
10;03:10.8;Isle_sur_la_Sorgues1
10;03:27.1;Isle_sur_la_Sorgues1
10;03:06.2;Isle_sur_la_Sorgues1
10;02:17.7;Isle_sur_la_Sorgues1
10;02:29.0;Isle_sur_la_Sorgues1
10;03:29.4;Isle_sur_la_Sorgues1
6;01:21.7;Isle_sur_la_Sorgues1
10;02:44.7;Isle_sur_la_Sorgues2
10;03:45.9;Isle_sur_la_Sorgues2
10;03:21.2;Isle_sur_la_Sorgues2
10;02:26.1;Isle_sur_la_Sorgues2
10;03:01.7;Isle_sur_la_Sorgues2
10;02:26.1;Isle_sur_la_Sorgues2
10;02:34.2;Isle_sur_la_Sorgues2
10;02:40.8;Isle_sur_la_Sorgues2
10;02:51.2;Isle_sur_la_Sorgues2
9;01:33.7;Isle_sur_la_Sorgues2
10;02:33.0;CabannesS
10;02:20.8;CabannesS
10;02:20.6;CabannesS
10;02:37.4;CabannesS
10;02:38.2;CabannesS
10;02:49.4;CabannesS
10;02:21.3;CabannesS
10;02:42.7;CabannesS
4;00:55.9;CabannesS
10;02:16.7;CabannesT
10;02:06.8;CabannesT
10;02:53.6;CabannesT
10;02:34.5;CabannesT
10;02:53.5;CabannesT
10;03:12.3;CabannesT
10;02:45.7;CabannesT
10;02:47.8;CabannesT
12;03:11.8;CabannesT
