Observer_ID;Previous_Experience;Round;Sample_ID;Obs_No_Larvae;Time_Sec;True_No_Larvae;Incubation
1;yes;A;1;6;48.14;8;no
1;yes;B;1;6;28.78;8;no
2;yes;A;1;4;13.26;8;no
2;yes;B;1;6;18.42;8;no
3;yes;A;1;6;48.73;8;no
3;yes;B;1;6;5.23;8;no
4;no;A;1;5;8.34;8;no
4;no;B;1;7;21.22;8;no
5;yes;A;1;6;56.78;8;no
5;yes;B;1;7;45.99;8;no
6;yes;A;1;6;28.76;8;no
6;yes;B;1;8;25.7;8;no
7;no;A;1;5;37;8;no
7;no;B;1;5;28.64;8;no
8;yes;A;1;8;45.53;8;no
8;yes;B;1;9;53.65;8;no
9;no;A;1;6;44.64;8;no
9;no;B;1;6;43.84;8;no
10;yes;A;1;4;17;8;no
10;yes;B;1;5;20.53;8;no
1;yes;A;2;25;65.98;32;no
1;yes;B;2;23;92.49;32;no
2;yes;A;2;6;18.54;32;no
2;yes;B;2;16;53.59;32;no
3;yes;A;2;18;61.79;32;no
3;yes;B;2;21;72.56;32;no
4;no;A;2;13;41.52;32;no
4;no;B;2;23;43.66;32;no
5;yes;A;2;19;124.21;32;no
5;yes;B;2;24;81.46;32;no
6;yes;A;2;13;70.27;32;no
6;yes;B;2;15;29.49;32;no
7;no;A;2;9;44.66;32;no
7;no;B;2;2;72.96;32;no
8;yes;A;2;9;43.17;32;no
8;yes;B;2;25;93.01;32;no
9;no;A;2;11;33.96;32;no
9;no;B;2;21;76.35;32;no
10;yes;A;2;9;43.57;32;no
10;yes;B;2;6;31.53;32;no
1;yes;A;3;2;19.72;3;no
1;yes;B;3;3;30.53;3;no
2;yes;A;3;2;16.14;3;no
2;yes;B;3;2;10.41;3;no
3;yes;A;3;2;38.48;3;no
3;yes;B;3;4;43.5;3;no
4;no;A;3;2;14.37;3;no
4;no;B;3;3;15.24;3;no
5;yes;A;3;2;31.31;3;no
5;yes;B;3;2;30.57;3;no
6;yes;A;3;2;19.98;3;no
6;yes;B;3;2;16.81;3;no
7;no;A;3;2;14.55;3;no
7;no;B;3;2;14.9;3;no
8;yes;A;3;3;53.1;3;no
8;yes;B;3;7;80.12;3;no
9;no;A;3;2;21.85;3;no
9;no;B;3;3;37.75;3;no
10;yes;A;3;2;26.55;3;no
10;yes;B;3;2;16.83;3;no
1;yes;A;4;1;36.4;1;no
1;yes;B;4;1;13.32;1;no
2;yes;A;4;1;17.34;1;no
2;yes;B;4;1;8.63;1;no
3;yes;A;4;1;36.62;1;no
3;yes;B;4;1;33.38;1;no
4;no;A;4;1;21.45;1;no
4;no;B;4;1;20.78;1;no
5;yes;A;4;1;48.25;1;no
5;yes;B;4;1;22.23;1;no
6;yes;A;4;0;50.85;1;no
6;yes;B;4;0;17.67;1;no
7;no;A;4;0;19.94;1;no
7;no;B;4;0;20.07;1;no
8;yes;A;4;1;25.37;1;no
8;yes;B;4;1;26.8;1;no
9;no;A;4;1;3.05;1;no
9;no;B;4;0;17.95;1;no
10;yes;A;4;0;20.14;1;no
10;yes;B;4;0;13.95;1;no
1;yes;A;5;5;30.43;12;no
1;yes;B;5;7;15.1;12;no
2;yes;A;5;6;23.95;12;no
2;yes;B;5;4;15.88;12;no
3;yes;A;5;2;11.66;12;no
3;yes;B;5;9;65.4;12;no
4;no;A;5;5;22.68;12;no
4;no;B;5;4;17.63;12;no
5;yes;A;5;2;22.65;12;no
5;yes;B;5;5;38.96;12;no
6;yes;A;5;3;25.97;12;no
6;yes;B;5;7;30.16;12;no
7;no;A;5;3;27.86;12;no
7;no;B;5;3;18;12;no
8;yes;A;5;6;31.59;12;no
8;yes;B;5;8;40.22;12;no
9;no;A;5;3;42.9;12;no
9;no;B;5;6;41.05;12;no
10;yes;A;5;2;19.12;12;no
10;yes;B;5;1;10.5;12;no
1;yes;A;6;0;29.26;6;no
1;yes;B;6;0;32.73;6;no
2;yes;A;6;0;19.13;6;no
2;yes;B;6;0;13.31;6;no
3;yes;A;6;0;41.48;6;no
3;yes;B;6;0;33.98;6;no
4;no;A;6;0;17.29;6;no
4;no;B;6;0;11.19;6;no
5;yes;A;6;0;38.19;6;no
5;yes;B;6;0;17.59;6;no
6;yes;A;6;0;33.45;6;no
6;yes;B;6;0;5.38;6;no
7;no;A;6;0;19.66;6;no
7;no;B;6;0;19.26;6;no
8;yes;A;6;0;18.18;6;no
8;yes;B;6;0;30.33;6;no
9;no;A;6;0;16.18;6;no
9;no;B;6;0;13.55;6;no
10;yes;A;6;0;11.43;6;no
10;yes;B;6;0;8.16;6;no
1;yes;A;7;2;19.7;2;yes
1;yes;B;7;2;13.39;2;yes
2;yes;A;7;2;16.78;2;yes
2;yes;B;7;2;15.4;2;yes
3;yes;A;7;2;29.09;2;yes
3;yes;B;7;2;38.28;2;yes
4;no;A;7;2;16.41;2;yes
4;no;B;7;2;21.18;2;yes
5;yes;A;7;2;47.63;2;yes
5;yes;B;7;2;31.51;2;yes
6;yes;A;7;2;12.52;2;yes
6;yes;B;7;2;11.7;2;yes
7;no;A;7;2;17.69;2;yes
7;no;B;7;2;23.42;2;yes
8;yes;A;7;2;22.49;2;yes
8;yes;B;7;2;33.31;2;yes
9;no;A;7;2;28.15;2;yes
9;no;B;7;3;25.33;2;yes
10;yes;A;7;2;13.34;2;yes
10;yes;B;7;2;13.21;2;yes
1;yes;A;8;0;25.38;0;yes
1;yes;B;8;0;14.68;0;yes
2;yes;A;8;0;9.01;0;yes
2;yes;B;8;0;8.72;0;yes
3;yes;A;8;0;29.95;0;yes
3;yes;B;8;0;34.19;0;yes
